date,category,payment_mode,description,amount_paid,cashback
2024-12-01,Transport,UPI,Book kind organization.,1611.56,0.0
2024-12-14,Transport,Credit Card,Condition of simple.,4450.94,0.0
2024-12-17,Bills,Debit Card,Summer but.,522.63,0.0
2024-12-11,Bills,Cash,Head control whole.,1954.07,0.0
2024-12-19,Bills,Credit Card,Risk hear place past.,4900.8,0.0
2024-12-02,Shopping,Credit Card,Thank answer garden.,836.22,0.0
2024-12-13,Gifts,Cash,Deal scientist son.,3940.4,0.0
2024-12-18,Travel,Net Banking,Sister bill activity.,497.85,50.46
2024-12-04,Transport,Net Banking,Various rise measure board.,2687.14,0.0
2024-12-13,Gifts,Cash,Hotel current can perform.,1829.06,0.0
2024-12-06,Shopping,Net Banking,Edge.,2539.86,0.0
2024-12-16,Shopping,Debit Card,Would mean sound.,2247.73,0.0
2024-12-09,Travel,Debit Card,Able can.,4888.63,0.0
2024-12-15,Food,Debit Card,Security actually.,2966.27,21.27
2024-12-04,Shopping,Cash,New line up.,2622.14,69.98
2024-12-10,Gifts,Credit Card,Center believe.,2462.86,0.0
2024-12-08,Transport,Net Banking,Movie upon build.,1615.41,0.0
2024-12-17,Shopping,UPI,Seem trial.,1981.37,31.76
2024-12-16,Food,UPI,Or while.,407.79,0.0
2024-12-14,Food,Net Banking,System better agree.,2592.92,0.0
2024-12-02,Gifts,UPI,North director.,3448.81,0.0
2024-12-17,Gifts,Debit Card,Yes skin receive.,2718.32,0.0
2024-12-24,Gifts,Credit Card,Stuff science daughter.,2126.41,28.76
2024-12-04,Bills,Credit Card,Hand.,3626.23,0.0
2024-12-27,Entertainment,Net Banking,Magazine skill feel.,1448.23,0.0
2024-12-09,Transport,UPI,Player sell fill.,1080.95,0.0
2024-12-09,Transport,Net Banking,Six site break.,4198.66,0.0
2024-12-18,Transport,Debit Card,Place job office.,4809.3,0.0
2024-12-15,Transport,Debit Card,Especially.,2102.08,0.0
2024-12-18,Shopping,UPI,Least play.,617.74,163.31
2024-12-06,Entertainment,UPI,Easy surface.,378.2,0.0
2024-12-01,Transport,Credit Card,Page explain.,82.61,118.64
2024-12-25,Entertainment,UPI,Hard worker Congress.,1833.95,21.69
2024-12-01,Gifts,Net Banking,Weight stock.,2732.63,0.0
2024-12-16,Gifts,UPI,They learn.,2406.15,0.0
2024-12-23,Gifts,Debit Card,Message tonight.,2521.94,0.0
2024-12-25,Travel,Debit Card,System we.,238.99,0.0
2024-12-17,Bills,Cash,Sport plant benefit.,3871.37,0.0
2024-12-08,Food,Debit Card,Computer fly travel.,207.05,0.0
2024-12-01,Food,Debit Card,Film member.,2923.72,0.0
2024-12-15,Food,UPI,Usually beat away red.,4122.23,0.0
2024-12-15,Transport,UPI,Time it pressure.,1498.39,0.0
2024-12-20,Food,Debit Card,Around three member.,2723.9,0.0
2024-12-17,Gifts,Cash,Book but.,1384.92,0.0
2024-12-18,Transport,UPI,Process hair hot.,820.47,0.0
2024-12-23,Gifts,Cash,Fear ahead.,4145.08,0.0
2024-12-04,Gifts,UPI,Car meeting.,2858.14,0.0
2024-12-09,Gifts,Net Banking,Resource just.,4981.77,0.0
2024-12-26,Travel,Net Banking,Clearly.,1103.05,0.0
2024-12-06,Travel,UPI,Could.,3301.95,0.0
2024-12-23,Transport,Cash,Point wear area.,1629.38,26.24
2024-12-23,Bills,Cash,Late.,2357.8,0.0
2024-12-18,Bills,Net Banking,Serve deep others.,3913.78,0.0
2024-12-18,Entertainment,Cash,Church material discover.,2162.49,0.0
2024-12-08,Entertainment,Net Banking,Personal tend.,160.52,0.0
2024-12-24,Bills,Cash,Necessary.,2694.7,0.0
2024-12-16,Bills,Net Banking,Determine arm least.,455.37,0.0
2024-12-26,Bills,Credit Card,Mother.,474.07,0.0
2024-12-09,Food,Debit Card,Along chance.,3927.11,0.0
2024-12-01,Entertainment,Cash,Movement again best.,3206.94,0.0
2024-12-20,Shopping,Cash,Perhaps myself.,1890.33,0.0
2024-12-26,Entertainment,Debit Card,Administration prepare say.,3872.47,0.0
2024-12-25,Shopping,Credit Card,They use.,680.71,21.21
2024-12-21,Food,Cash,Hair look.,2505.36,0.0
2024-12-02,Travel,Credit Card,Without win.,2543.13,0.0
2024-12-17,Travel,Debit Card,Writer energy.,1018.96,0.0
2024-12-27,Travel,Net Banking,Southern speech wide.,2135.8,0.0
2024-12-02,Bills,Net Banking,Admit over.,2435.96,0.0
2024-12-18,Entertainment,Net Banking,Traditional American.,3819.72,0.0
2024-12-01,Entertainment,Debit Card,Serious cover wide.,2319.68,0.0
2024-12-02,Entertainment,UPI,Trip good something.,787.93,92.68
2024-12-02,Entertainment,Net Banking,Loss perhaps sit.,1643.15,0.0
2024-12-18,Transport,Net Banking,A also.,1947.55,107.71
2024-12-24,Entertainment,UPI,More pressure rate.,765.34,8.07
2024-12-12,Bills,UPI,Economy edge.,2154.14,0.0
2024-12-04,Shopping,UPI,Relate defense.,3208.46,0.0
2024-12-23,Bills,Debit Card,Debate fill.,4979.82,162.09
2024-12-14,Gifts,Credit Card,Establish report off.,4070.69,0.0
2024-12-15,Bills,UPI,Heart nation.,2380.58,0.0
2024-12-09,Gifts,Credit Card,Minute career.,3781.42,0.0
