date,category,payment_mode,description,amount_paid,cashback
2024-06-26,Entertainment,Debit Card,Expert give.,183.97,95.89
2024-06-10,Entertainment,Credit Card,At partner.,3719.96,0.0
2024-06-03,Food,Cash,Cultural television go office.,2063.73,0.0
2024-06-02,Transport,Net Banking,Win require no thank.,4409.84,0.0
2024-06-19,Food,Debit Card,Money.,1948.16,0.0
2024-06-08,Entertainment,UPI,Face a.,3453.28,0.0
2024-06-18,Entertainment,Debit Card,Also room experience.,1609.82,0.0
2024-06-18,Shopping,Net Banking,Plan feel him.,3479.0,50.51
2024-06-08,Bills,Cash,Lawyer already population.,1175.08,0.0
2024-06-20,Shopping,Credit Card,Society stuff product.,1806.2,0.0
2024-06-03,Shopping,UPI,Off computer real.,4223.2,0.0
2024-06-03,Transport,UPI,About radio.,2869.64,103.74
2024-06-15,Entertainment,Net Banking,Lot after.,3049.03,0.0
2024-06-14,Food,UPI,Middle happen figure.,2651.4,0.0
2024-06-06,Transport,Debit Card,Hour film.,2385.58,0.0
2024-06-16,Transport,Credit Card,Sister yard.,3683.42,0.0
2024-06-21,Travel,Net Banking,Same third kind.,3215.24,117.33
2024-06-26,Shopping,Credit Card,Participant.,2901.23,0.0
2024-06-17,Entertainment,Credit Card,Include American pressure.,1047.61,0.0
2024-06-07,Entertainment,Net Banking,Which probably.,2879.83,0.0
2024-06-02,Gifts,Credit Card,Certain.,139.42,0.0
2024-06-06,Travel,Credit Card,Hot.,1250.1,0.0
2024-06-05,Shopping,Net Banking,Though she reveal.,3153.53,0.0
2024-06-11,Gifts,Net Banking,Make specific partner.,3996.18,0.0
2024-06-25,Shopping,Cash,Receive decide plant you.,1145.64,0.0
2024-06-27,Gifts,Cash,Senior recent value.,1925.67,0.0
2024-06-27,Transport,Debit Card,Enter question attention.,3545.44,0.0
2024-06-01,Bills,Cash,Ago degree east.,412.53,0.0
2024-06-27,Gifts,Debit Card,Professor season put.,2843.66,41.55
2024-06-06,Transport,Cash,Different computer.,2325.52,0.0
2024-06-08,Bills,Credit Card,Sister notice.,1458.14,0.0
2024-06-22,Gifts,Credit Card,Soon here present.,769.35,0.0
2024-06-17,Entertainment,Credit Card,However half bank.,4766.61,0.0
2024-06-21,Transport,Cash,Management.,1269.36,0.0
2024-06-22,Transport,Cash,Least once than.,3466.33,0.0
2024-06-10,Entertainment,UPI,Small place argue.,649.15,0.0
2024-06-23,Shopping,Net Banking,Across impact.,1404.73,99.06
2024-06-19,Entertainment,Net Banking,Would official.,321.03,0.0
2024-06-20,Travel,UPI,Center.,2090.38,0.0
2024-06-16,Food,Credit Card,Control anything.,1471.13,0.0
2024-06-24,Food,Credit Card,Behavior find reason.,4726.3,0.0
2024-06-14,Gifts,Cash,Station usually.,4665.24,4.21
2024-06-15,Transport,Credit Card,Deep artist consider.,3217.04,0.0
2024-06-24,Transport,UPI,Middle experience actually.,198.5,0.0
2024-06-18,Food,Debit Card,Science which rise we.,2556.43,0.0
2024-06-26,Transport,Debit Card,Actually lawyer fire ago.,2627.26,0.0
2024-06-01,Gifts,Cash,Well wide there.,1059.26,0.0
2024-06-10,Entertainment,Debit Card,Between feeling.,1993.76,0.0
2024-06-09,Food,Credit Card,Well teacher fall.,2047.29,0.0
2024-06-07,Transport,UPI,Industry argue.,4729.59,57.51
2024-06-08,Entertainment,Cash,Some know without.,1991.2,0.0
2024-06-23,Travel,Cash,Later paper debate.,4550.0,0.0
2024-06-14,Entertainment,Net Banking,Discuss yet Mr less.,1806.86,0.0
2024-06-03,Shopping,Debit Card,Special manage.,3712.01,0.0
2024-06-19,Shopping,Debit Card,Admit so.,3606.87,0.0
2024-06-08,Travel,Cash,Strong book.,1154.95,80.91
2024-06-24,Travel,Cash,After glass.,4854.77,0.0
2024-06-15,Travel,Cash,Rather family catch.,4963.71,0.0
2024-06-24,Food,Cash,Garden ground month.,878.78,100.28
2024-06-19,Travel,Credit Card,Nice PM fill side.,366.32,0.0
2024-06-11,Gifts,UPI,Thousand glass clearly defense.,3895.18,0.0
2024-06-12,Transport,UPI,Training democratic.,1294.3,90.6
2024-06-18,Travel,UPI,Sense sister husband over.,270.37,0.0
2024-06-07,Shopping,Debit Card,West range the.,2111.1,63.4
2024-06-23,Travel,Debit Card,Debate decade fire.,554.93,0.0
2024-06-10,Travel,Credit Card,Until believe general.,4892.41,139.09
2024-06-02,Transport,Debit Card,Base rise none.,1568.4,0.0
2024-06-14,Travel,Net Banking,Hold investment.,4083.0,0.0
2024-06-27,Food,Net Banking,Become deep yes.,1448.02,0.0
2024-06-07,Entertainment,UPI,Particular arm opportunity.,4705.61,0.0
2024-06-26,Gifts,Cash,Hard recently guy.,797.46,0.0
2024-06-17,Transport,Debit Card,Central miss.,374.6,0.0
2024-06-22,Entertainment,Credit Card,Read they.,2663.13,0.0
2024-06-26,Entertainment,UPI,Ahead them.,3131.82,0.0
2024-06-21,Entertainment,Net Banking,Option see just.,2690.87,0.0
2024-06-23,Food,UPI,Range must same.,962.69,152.47
2024-06-02,Transport,Credit Card,Accept large design.,1386.38,0.0
2024-06-13,Bills,Net Banking,Be sell arm.,1576.97,0.0
2024-06-14,Transport,UPI,Forward way.,1164.49,77.85
2024-06-02,Shopping,Debit Card,Physical will.,1562.73,0.0
2024-06-01,Shopping,Net Banking,Staff specific page.,983.8,176.12
2024-06-10,Gifts,UPI,More natural reality.,2900.3,0.0
2024-06-24,Travel,Credit Card,Modern and.,3039.69,178.44
2024-06-02,Food,Debit Card,Blue car.,2413.94,0.0
2024-06-04,Travel,Credit Card,Notice either.,1680.89,0.0
2024-06-13,Transport,UPI,Himself like.,838.19,0.0
2024-06-08,Travel,Credit Card,Much how.,4661.67,0.0
2024-06-03,Entertainment,UPI,Then later former.,264.36,0.0
2024-06-02,Shopping,Debit Card,Expert window front.,1220.32,33.28
2024-06-07,Bills,UPI,Raise they resource.,1166.34,0.0
2024-06-08,Entertainment,Debit Card,Through five possible.,3229.57,0.0
2024-06-01,Bills,UPI,Make special.,3206.74,0.0
2024-06-17,Entertainment,Cash,Analysis stage.,4346.3,0.0
2024-06-02,Transport,Net Banking,Purpose recognize term.,1383.24,0.0
2024-06-23,Transport,Credit Card,Top big suffer.,2431.11,0.0
2024-06-17,Entertainment,Debit Card,Brother southern show audience.,1522.74,180.54
2024-06-03,Bills,Debit Card,Conference social sure.,1933.26,0.0
2024-06-17,Transport,UPI,Visit former.,2177.07,0.0
2024-06-12,Bills,Cash,Really watch.,922.5,0.0
2024-06-27,Transport,Cash,Phone certain wait.,2184.36,0.0
2024-06-05,Gifts,Cash,Church.,332.9,0.0
2024-06-19,Gifts,UPI,Gas ten.,3475.39,195.76
2024-06-16,Transport,Cash,Up within or.,1685.27,0.0
2024-06-25,Entertainment,Net Banking,Son test.,190.67,0.0
2024-06-22,Entertainment,Debit Card,High man bring.,3993.39,0.0
2024-06-06,Gifts,Cash,Growth success.,4152.23,0.0
2024-06-23,Travel,Credit Card,Work big.,3928.05,0.0
2024-06-21,Transport,Debit Card,Information study difficult.,382.54,0.0
2024-06-05,Shopping,Net Banking,Training Democrat agency.,1514.14,0.0
2024-06-17,Food,Net Banking,Service early.,3672.68,0.0
2024-06-24,Gifts,Debit Card,Important election one tree.,4737.42,0.0
2024-06-23,Gifts,UPI,Attention way.,2958.85,87.17
2024-06-23,Travel,UPI,Short upon care.,738.06,0.0
2024-06-25,Bills,Debit Card,Question tell understand.,3788.96,0.0
2024-06-07,Shopping,Credit Card,Local fall.,4833.97,0.0
2024-06-27,Bills,Cash,Set radio same.,2006.77,0.0
2024-06-23,Travel,Cash,Evidence behind field.,3111.68,0.0
2024-06-04,Shopping,Debit Card,West return many.,4350.68,0.0
2024-06-16,Food,Cash,Mission ball.,3414.05,0.0
2024-06-21,Transport,Cash,Pick could.,2258.68,0.0
2024-06-04,Transport,UPI,Line yourself.,3420.85,0.0
2024-06-22,Gifts,UPI,Want market.,726.15,0.0
2024-06-25,Transport,Credit Card,Each minute.,4225.4,0.0
2024-06-21,Food,Credit Card,Debate.,3273.74,0.0
2024-06-10,Gifts,Debit Card,North real.,3352.43,0.0
2024-06-19,Shopping,Credit Card,Sometimes.,2914.91,0.0
2024-06-02,Entertainment,Debit Card,Suggest stay visit.,3849.63,85.24
2024-06-10,Travel,UPI,Moment help.,4145.48,0.0
2024-06-02,Travel,Credit Card,Nor where.,3090.64,0.0
2024-06-17,Entertainment,UPI,Many so.,537.98,0.0
2024-06-13,Gifts,Debit Card,Source however party.,2433.04,85.48
2024-06-13,Bills,Cash,Attack dark.,2261.71,0.0
2024-06-15,Shopping,Debit Card,Learn look.,132.74,0.0
2024-06-19,Food,UPI,Soldier statement.,2370.06,0.0
2024-06-13,Transport,UPI,Weight billion crime.,727.38,0.0
2024-06-18,Travel,Debit Card,Gun when.,1686.26,0.0
2024-06-01,Shopping,Debit Card,Tax control without.,3064.98,0.0
2024-06-04,Transport,Debit Card,Establish enjoy might.,2034.65,0.0
2024-06-05,Shopping,UPI,Here you research.,2613.64,0.0
2024-06-14,Gifts,Credit Card,Affect develop.,4419.25,0.0
2024-06-03,Transport,Credit Card,Hour control whom.,442.68,0.0
2024-06-07,Travel,Cash,Stop wish number.,1637.69,193.5
2024-06-06,Transport,Credit Card,Often between face.,1355.32,0.0
2024-06-02,Gifts,Debit Card,Media even avoid.,4541.49,0.0
2024-06-04,Travel,Cash,Exactly people finish represent.,1686.02,160.48
2024-06-23,Travel,Credit Card,Think seek continue.,583.6,0.0
2024-06-13,Entertainment,Net Banking,Southern water.,1614.37,26.1
2024-06-16,Food,UPI,Film seven.,3848.78,0.0
2024-06-21,Bills,Debit Card,Almost state policy.,4794.89,0.0
2024-06-14,Entertainment,UPI,Which wait team claim.,1727.09,0.0
2024-06-21,Transport,UPI,Today field.,1176.48,0.0
2024-06-09,Bills,UPI,Account front.,2228.62,0.0
2024-06-26,Entertainment,Credit Card,Budget threat.,3329.73,147.54
2024-06-03,Travel,Net Banking,Marriage card whole.,4617.96,0.0
2024-06-17,Bills,Net Banking,Road development spring.,4547.34,107.04
2024-06-01,Travel,Credit Card,Book notice medical.,4941.49,0.0
2024-06-10,Transport,Credit Card,Not let.,1198.81,0.0
2024-06-13,Gifts,Net Banking,Writer relationship.,2838.53,12.51
2024-06-24,Gifts,UPI,Accept either operation.,4568.41,147.82
2024-06-09,Bills,Debit Card,Control gas start.,3420.58,0.0
2024-06-20,Travel,Credit Card,Agent perhaps room.,3374.68,94.63
2024-06-06,Shopping,UPI,Floor.,1618.98,0.0
2024-06-12,Shopping,UPI,How clear.,4312.41,0.0
2024-06-02,Food,UPI,Low.,1370.41,0.0
2024-06-27,Food,Credit Card,Large party main.,3970.8,7.52
2024-06-09,Food,Debit Card,Tv history manager.,1530.01,0.0
2024-06-27,Bills,Net Banking,Option outside receive.,3898.13,0.0
2024-06-15,Entertainment,UPI,Both economy wish.,3925.79,93.99
2024-06-10,Gifts,Net Banking,Similar something.,4266.48,0.0
2024-06-16,Gifts,UPI,Sell total contain.,548.11,0.0
2024-06-02,Travel,Cash,Sea mother.,4899.38,0.0
2024-06-20,Entertainment,Cash,Trouble phone can.,3355.18,36.21
2024-06-12,Transport,UPI,Operation reflect tough.,3635.17,0.0
2024-06-19,Food,UPI,Far book.,2370.87,72.53
2024-06-18,Gifts,Debit Card,Magazine impact animal national.,2470.72,0.0
2024-06-14,Entertainment,Credit Card,Recently floor.,4529.64,0.0
2024-06-06,Shopping,UPI,Itself others.,1002.47,0.0
2024-06-08,Food,Net Banking,Attack beyond.,2235.51,0.0
2024-06-11,Transport,Debit Card,Song benefit matter season.,3070.84,0.0
2024-06-26,Gifts,UPI,Drug music establish.,3074.08,0.0
2024-06-13,Transport,Cash,Policy.,734.33,0.0
2024-06-10,Gifts,Credit Card,Will member surface.,4748.84,0.0
2024-06-17,Transport,Debit Card,However describe.,1255.15,8.58
2024-06-11,Travel,Cash,Miss to trial.,3716.44,148.59
2024-06-24,Gifts,UPI,Billion author.,1115.69,78.87
2024-06-04,Entertainment,UPI,Down fact model.,1469.16,0.0
2024-06-22,Shopping,Debit Card,Computer simply.,2845.1,0.0
2024-06-12,Shopping,Net Banking,International more interest.,2263.81,6.9
2024-06-15,Travel,Debit Card,Suddenly also bank.,4805.98,165.46
2024-06-08,Food,Debit Card,Agent.,1138.12,0.0
2024-06-15,Shopping,UPI,Next top build.,207.09,0.0
2024-06-08,Bills,Net Banking,Prepare window party.,4011.16,125.33
2024-06-19,Transport,Debit Card,Hear sell.,816.95,58.7
2024-06-01,Shopping,UPI,Mean set later.,3181.45,0.0
2024-06-01,Gifts,Debit Card,Glass paper.,3567.47,0.0
2024-06-08,Gifts,Debit Card,Toward many.,4461.85,0.0
2024-06-13,Food,Credit Card,Star risk.,1894.54,0.0
2024-06-26,Travel,Cash,Though rock wide control.,4271.2,0.0
2024-06-14,Gifts,Credit Card,Represent know.,4585.56,141.82
2024-06-12,Travel,Net Banking,Stuff interest watch.,1836.63,0.0
