date,category,payment_mode,description,amount_paid,cashback
2024-07-09,Gifts,Credit Card,Value also including.,4427.97,0.0
2024-07-10,Entertainment,Net Banking,Wind two organization.,754.21,13.98
2024-07-23,Transport,Net Banking,At rise.,595.6,0.0
2024-07-02,Bills,Credit Card,Agent ahead.,3466.73,0.0
2024-07-15,Food,Net Banking,Operation hard part.,4073.01,0.0
2024-07-23,Transport,UPI,Large visit right.,4284.17,0.0
2024-07-22,Gifts,Cash,Produce ahead.,3501.96,0.0
2024-07-17,Food,Credit Card,Morning investment hospital full.,993.24,0.0
2024-07-04,Shopping,Cash,Think east.,4240.55,0.0
2024-07-04,Shopping,Credit Card,Writer budget agree.,469.25,45.6
2024-07-22,Bills,UPI,Author.,796.09,86.84
2024-07-15,Shopping,UPI,Enjoy with.,3804.96,0.0
2024-07-17,Transport,UPI,Later body.,1147.05,171.06
2024-07-15,Shopping,Net Banking,Per play.,2375.73,155.56
2024-07-27,Gifts,Net Banking,Argue the.,4548.54,0.0
2024-07-20,Entertainment,Net Banking,History.,3230.92,0.0
2024-07-03,Food,Cash,Business check.,3834.3,60.77
2024-07-21,Entertainment,Credit Card,Political your.,1403.09,0.0
2024-07-04,Bills,Net Banking,Pull important.,4420.32,0.0
2024-07-25,Food,Debit Card,Fund.,4932.81,0.0
2024-07-26,Transport,Credit Card,View Republican.,4553.32,0.0
2024-07-13,Transport,Net Banking,Expect agree.,3384.43,0.0
2024-07-18,Entertainment,Credit Card,Food despite tend.,1015.6,0.0
2024-07-17,Bills,UPI,Child yourself.,1736.79,0.0
2024-07-24,Gifts,Net Banking,Religious forget.,1975.92,0.0
2024-07-12,Transport,Credit Card,Chair eat.,138.37,0.0
2024-07-02,Entertainment,UPI,Lose magazine improve.,2780.09,0.0
2024-07-07,Shopping,UPI,Century expect.,1301.56,0.0
2024-07-22,Shopping,Debit Card,Physical body federal.,1037.44,143.15
2024-07-24,Bills,Credit Card,That often team.,1145.87,36.69
2024-07-08,Travel,Net Banking,Structure also.,4345.43,0.0
2024-07-23,Transport,UPI,Which it Democrat.,4925.11,0.0
2024-07-07,Transport,Debit Card,Particularly visit.,443.65,0.0
2024-07-06,Travel,Net Banking,Discover back law material.,1430.67,0.0
2024-07-24,Food,UPI,Group available effect.,4730.33,0.0
2024-07-20,Transport,UPI,Nation make.,2020.86,187.75
2024-07-11,Gifts,Credit Card,To exist meet.,1467.99,0.0
2024-07-04,Gifts,Cash,Term policy friend.,3627.81,0.0
2024-07-07,Food,Credit Card,Capital science involve.,808.71,0.0
2024-07-07,Shopping,UPI,Affect movie attack.,4490.45,0.0
2024-07-10,Bills,Credit Card,Near town.,4904.76,0.0
