date,category,payment_mode,description,amount_paid,cashback
2024-05-10,Travel,UPI,Stuff physical.,3561.71,0.0
2024-05-06,Bills,Credit Card,Us have.,4206.04,0.0
2024-05-09,Entertainment,Debit Card,Relationship large material.,3961.61,0.0
2024-05-21,Food,UPI,Treatment draw.,4837.78,0.0
2024-05-16,Gifts,UPI,Would him throughout member.,1274.42,0.0
2024-05-08,Entertainment,Debit Card,Accept arrive across.,3738.39,0.0
2024-05-14,Shopping,Debit Card,Key why he.,1895.96,0.0
2024-05-15,Transport,Debit Card,Charge read.,1238.38,0.0
2024-05-10,Travel,Net Banking,Need common.,3343.72,0.0
2024-05-15,Travel,Credit Card,Open.,860.83,0.0
2024-05-10,Transport,Debit Card,Sit successful catch.,1532.28,0.0
2024-05-17,Gifts,Credit Card,Standard or.,4689.81,0.0
2024-05-08,Food,Credit Card,Author make.,1345.44,0.0
2024-05-03,Food,Net Banking,Your care human.,3468.3,0.0
2024-05-07,Shopping,Cash,Section both trip.,664.96,13.39
2024-05-12,Food,UPI,Or.,4560.46,0.0
2024-05-07,Transport,Debit Card,Upon contain avoid.,2006.16,0.0
2024-05-26,Bills,Cash,Civil.,3713.96,0.0
2024-05-13,Bills,Net Banking,Window writer prove.,4240.22,0.0
2024-05-16,Bills,UPI,Few pattern table amount.,2303.08,0.0
2024-05-08,Food,Net Banking,Compare.,2144.58,0.0
2024-05-10,Transport,Cash,Produce image trouble position.,3449.91,0.0
2024-05-23,Travel,Debit Card,Firm social power.,1436.64,0.0
2024-05-18,Food,Credit Card,On tend glass.,117.05,0.0
2024-05-09,Bills,Debit Card,Nearly.,1018.4,0.0
2024-05-10,Bills,Net Banking,Himself water tend.,389.15,5.51
2024-05-18,Transport,Net Banking,Despite into down.,2672.85,0.0
2024-05-03,Bills,UPI,Lead police.,1096.78,1.66
2024-05-12,Travel,Cash,Any I hand.,3567.59,0.0
2024-05-15,Travel,UPI,Our.,290.08,0.0
2024-05-23,Gifts,Credit Card,Perhaps stand shake.,1416.19,0.0
2024-05-25,Gifts,UPI,Writer office.,3753.48,0.0
2024-05-13,Travel,UPI,Before scene.,2283.9,0.0
2024-05-03,Travel,UPI,Change deep.,4813.06,0.0
2024-05-19,Entertainment,Net Banking,Sound meet bring.,412.5,0.0
2024-05-04,Shopping,Debit Card,Trouble end.,190.77,0.0
2024-05-06,Travel,Net Banking,Behavior final visit.,3286.76,28.9
2024-05-27,Food,Cash,Certain body budget.,1093.23,0.0
2024-05-25,Gifts,Cash,Mission.,69.0,0.0
2024-05-11,Gifts,Net Banking,Contain road inside.,591.79,0.0
2024-05-06,Gifts,Credit Card,Wonder so.,3690.63,0.0
2024-05-18,Shopping,Credit Card,Tonight if compare.,4896.99,0.0
2024-05-17,Bills,Debit Card,Poor off.,2007.14,0.0
2024-05-13,Gifts,Net Banking,Identify tough.,3318.43,0.0
