date,category,payment_mode,description,amount_paid,cashback
2024-03-01,Shopping,Credit Card,Do.,1673.04,0.0
2024-03-07,Bills,Net Banking,Professor these.,2904.74,0.0
2024-03-04,Travel,Net Banking,True clearly.,2269.42,0.0
2024-03-27,Food,Credit Card,Tell.,288.18,24.01
2024-03-09,Transport,Cash,Possible his.,1607.91,109.94
2024-03-17,Bills,Cash,Mean leave wind.,1370.49,0.0
2024-03-08,Gifts,Debit Card,Remember day rich walk.,2557.31,0.0
2024-03-08,Transport,Debit Card,Blue chair certainly.,2083.63,166.81
2024-03-13,Entertainment,Cash,Let interest quality hour.,3243.5,0.0
2024-03-03,Shopping,Debit Card,Join history.,2276.7,81.28
2024-03-26,Bills,UPI,Now why medical.,3566.39,0.0
2024-03-26,Gifts,Debit Card,Many before.,3549.47,74.64
2024-03-20,Gifts,UPI,Image but order.,272.7,35.44
2024-03-24,Transport,Cash,Point director against expert.,1590.53,0.0
2024-03-10,Shopping,Cash,Read response theory.,487.58,0.0
2024-03-19,Gifts,Credit Card,Affect production blue business.,2924.62,0.0
2024-03-16,Shopping,Net Banking,Day well possible.,2479.65,0.0
2024-03-15,Travel,Debit Card,Else turn energy.,3727.81,162.85
2024-03-11,Entertainment,Debit Card,Many world certain.,2728.28,0.0
2024-03-02,Entertainment,Cash,Talk mouth notice.,144.54,0.0
2024-03-02,Bills,Credit Card,Along growth understand.,525.67,12.95
2024-03-22,Travel,UPI,Page food.,3958.47,0.0
2024-03-02,Travel,Debit Card,Generation size.,2908.07,0.0
2024-03-07,Travel,Credit Card,Political agreement test.,4075.28,0.0
2024-03-06,Bills,Credit Card,Few environment.,1162.19,0.0
2024-03-26,Shopping,Debit Card,Full impact.,1937.53,0.0
2024-03-03,Entertainment,UPI,Tell lawyer specific.,3070.18,0.0
2024-03-04,Gifts,Debit Card,Understand simply.,1607.87,0.0
2024-03-25,Bills,Credit Card,Watch.,3653.5,188.57
2024-03-10,Entertainment,Credit Card,Yeah mention.,4987.37,12.36
2024-03-21,Transport,Debit Card,Including south language.,3297.56,0.0
2024-03-26,Food,Net Banking,Book.,271.88,0.0
2024-03-06,Entertainment,UPI,There type center.,3292.53,0.0
2024-03-22,Transport,Cash,Wrong bar science bad.,3358.36,0.0
2024-03-18,Entertainment,UPI,Left.,2287.17,0.0
2024-03-11,Gifts,Debit Card,Recently rich.,1078.71,0.0
2024-03-23,Gifts,Debit Card,Certain deep all.,2098.57,0.0
2024-03-27,Bills,Cash,They wish shake.,4407.97,0.0
2024-03-02,Travel,UPI,Least could.,3228.58,0.0
2024-03-10,Gifts,Cash,Me test.,2811.4,0.0
2024-03-07,Bills,Net Banking,Rather vote door.,1042.95,0.0
2024-03-06,Food,Cash,Trip economic.,4442.79,0.0
2024-03-09,Gifts,UPI,Suddenly character bring.,2510.98,0.0
2024-03-05,Entertainment,Net Banking,Head hospital perhaps light.,3577.89,0.0
2024-03-25,Gifts,Cash,New body.,854.54,0.0
2024-03-21,Entertainment,Debit Card,Building write.,135.09,0.0
2024-03-20,Entertainment,Cash,Will which.,4611.59,0.0
2024-03-27,Bills,Debit Card,Hospital first.,1685.58,0.0
2024-03-11,Shopping,Credit Card,Quickly difference.,3645.17,0.0
2024-03-13,Entertainment,Net Banking,Performance provide character.,3570.31,0.0
2024-03-20,Shopping,Cash,Memory ability.,3136.28,0.0
2024-03-08,Food,Net Banking,Play open.,2634.9,0.0
2024-03-17,Food,Net Banking,Culture television.,2996.1,0.0
2024-03-20,Shopping,Debit Card,Listen any me think.,4266.31,0.0
2024-03-02,Entertainment,Debit Card,Nothing leg toward.,793.91,0.0
2024-03-13,Bills,Debit Card,Hour situation.,4325.53,0.0
2024-03-15,Entertainment,UPI,Born line environment.,3514.73,0.0
2024-03-13,Transport,Cash,Book professor as.,4293.88,18.5
2024-03-22,Shopping,Debit Card,Than hospital without.,2343.46,0.0
2024-03-16,Bills,Credit Card,Almost performance candidate.,3167.39,0.0
2024-03-23,Transport,UPI,Notice close.,422.19,0.0
2024-03-24,Food,UPI,Science age design able.,1491.88,0.0
2024-03-14,Food,Debit Card,Around Congress set.,279.29,0.0
2024-03-21,Food,Debit Card,Seat price tax.,2574.35,0.0
2024-03-27,Food,Net Banking,Responsibility again option drug.,1440.45,0.0
2024-03-03,Travel,Debit Card,Garden yourself.,3245.43,0.0
2024-03-07,Bills,UPI,Look school.,1288.91,59.09
2024-03-23,Gifts,Credit Card,Ahead majority physical.,99.79,0.0
2024-03-11,Food,Cash,Record news here person.,4914.22,0.0
2024-03-26,Entertainment,Net Banking,Huge.,251.4,0.0
2024-03-09,Food,UPI,Task federal.,1387.24,0.0
2024-03-08,Travel,Net Banking,Government meet hospital along.,1841.36,0.0
2024-03-25,Transport,Debit Card,Help himself feel.,4954.86,0.0
2024-03-13,Gifts,UPI,Drop avoid area.,4004.4,0.0
2024-03-21,Entertainment,Net Banking,Which.,2529.89,0.0
2024-03-07,Bills,Cash,Admit off.,4764.72,0.0
2024-03-27,Travel,UPI,Heart.,3301.95,0.0
2024-03-05,Gifts,UPI,President weight.,556.08,0.0
2024-03-27,Entertainment,Credit Card,Also foot.,3721.55,179.39
2024-03-19,Gifts,Debit Card,Determine final poor.,3684.5,0.0
2024-03-11,Travel,Net Banking,Rule discover.,2407.68,58.65
2024-03-24,Gifts,Cash,Eight easy.,342.61,60.99
2024-03-07,Entertainment,Debit Card,Which.,1058.95,0.0
2024-03-11,Food,Credit Card,Candidate common deal.,2304.57,0.0
2024-03-10,Gifts,Credit Card,Candidate.,4117.49,0.0
2024-03-12,Transport,Cash,Air expert.,4174.48,0.0
2024-03-27,Food,Net Banking,Oil tough play.,1610.26,0.0
2024-03-25,Bills,Net Banking,Dog goal.,3993.5,0.0
2024-03-13,Food,Net Banking,Respond than kid.,3382.5,0.0
2024-03-07,Transport,Net Banking,Car hot.,3778.83,0.0
2024-03-25,Entertainment,Net Banking,Then bed term.,1517.45,0.0
2024-03-27,Bills,Credit Card,Center financial training.,2486.05,103.34
2024-03-15,Travel,Debit Card,Fill notice.,4459.87,0.0
2024-03-06,Gifts,UPI,You become.,884.61,0.0
2024-03-07,Food,UPI,Ready national think.,386.35,0.0
2024-03-24,Transport,UPI,Design effect reason.,4312.42,0.0
2024-03-25,Travel,Cash,Build paper.,195.65,0.0
2024-03-01,Shopping,Credit Card,Would course nature.,4798.38,105.84
2024-03-01,Travel,Credit Card,Professor force middle.,696.19,0.0
2024-03-16,Travel,UPI,Pattern.,1102.42,0.0
2024-03-16,Shopping,Debit Card,Democrat father against.,436.66,41.07
2024-03-18,Shopping,UPI,Mean sit.,4404.56,0.0
2024-03-09,Food,UPI,Cultural party there.,1586.78,0.0
2024-03-11,Food,Cash,According its.,4311.46,0.0
2024-03-08,Transport,UPI,Physical their peace market.,475.08,0.0
2024-03-08,Entertainment,UPI,Fear treatment.,3438.74,0.0
2024-03-23,Bills,Credit Card,More region certainly.,4463.8,120.72
2024-03-02,Entertainment,Cash,Smile store adult.,4298.16,0.0
2024-03-26,Gifts,Cash,Answer bar.,254.57,0.0
2024-03-27,Food,Credit Card,Exist down.,2820.58,0.0
2024-03-26,Food,Credit Card,First rock.,4263.29,0.0
2024-03-08,Bills,Debit Card,Year better.,4581.03,0.0
2024-03-22,Transport,Credit Card,Here keep.,2943.25,0.0
2024-03-25,Bills,Debit Card,Level police.,1400.81,0.0
2024-03-08,Food,Debit Card,And think five.,4435.06,0.0
2024-03-27,Shopping,UPI,Material office fish.,55.55,0.0
2024-03-03,Gifts,Debit Card,Machine score.,1215.53,0.0
