date,category,payment_mode,description,amount_paid,cashback
2024-01-19,Gifts,Debit Card,Campaign wide.,2780.51,118.19
2024-01-11,Gifts,UPI,Factor management.,3111.89,0.0
2024-01-24,Entertainment,Net Banking,Drop drug read direction.,2616.96,0.0
2024-01-14,Shopping,Cash,Against field feel.,2429.47,0.0
2024-01-09,Transport,UPI,Hospital support.,656.12,0.0
2024-01-08,Transport,Credit Card,Itself own.,3927.66,0.0
2024-01-14,Travel,Debit Card,Scene board present.,600.32,0.0
2024-01-09,Bills,Net Banking,Subject industry.,690.44,0.0
2024-01-14,Shopping,Credit Card,Detail chair.,2270.68,22.28
2024-01-01,Bills,Net Banking,Interview ago study.,4835.47,0.0
2024-01-16,Shopping,Credit Card,Themselves region.,1977.38,0.0
2024-01-04,Gifts,Debit Card,Southern audience type.,4099.64,109.36
2024-01-14,Gifts,Credit Card,Sing again.,1102.33,0.0
2024-01-20,Food,Credit Card,Morning.,4797.48,38.41
2024-01-12,Shopping,Debit Card,Environment pick.,3435.12,0.0
2024-01-18,Shopping,UPI,Bed experience.,2471.77,0.0
2024-01-16,Food,Debit Card,Space girl fine.,3169.92,0.0
2024-01-16,Shopping,Cash,Direction give.,1562.17,0.0
2024-01-21,Gifts,Cash,Because throughout road.,2076.5,0.0
2024-01-12,Food,UPI,Case physical.,4435.4,0.0
2024-01-08,Food,Credit Card,Here keep sing.,89.15,0.0
2024-01-13,Travel,Net Banking,Why ask.,1268.99,0.0
2024-01-02,Shopping,Cash,Product life really.,1110.98,0.0
2024-01-20,Transport,Net Banking,Every model.,2497.87,0.0
2024-01-22,Travel,Cash,At member.,4557.48,19.77
2024-01-19,Bills,Cash,Present dream.,4142.09,0.0
2024-01-04,Gifts,Debit Card,Yes note technology.,848.0,0.0
2024-01-03,Gifts,UPI,Itself.,2591.99,0.0
2024-01-09,Shopping,Credit Card,Public energy.,3349.34,0.0
2024-01-10,Bills,Debit Card,Subject hundred never.,2335.84,0.0
2024-01-15,Food,Cash,Staff might.,478.75,130.4
2024-01-02,Transport,Cash,Republican hope.,1730.92,0.0
2024-01-12,Shopping,Cash,Consumer born.,4770.28,80.48
2024-01-10,Shopping,Credit Card,Or forward write much.,4713.54,0.0
2024-01-03,Travel,Credit Card,Avoid ahead.,2683.08,0.0
2024-01-23,Food,Cash,Check front.,2760.89,0.0
2024-01-06,Bills,Debit Card,Author no half somebody.,2421.7,0.0
2024-01-04,Travel,Credit Card,Hundred according.,4210.46,0.0
2024-01-05,Travel,Net Banking,Continue order.,841.91,0.0
2024-01-19,Shopping,Net Banking,Special cup star.,715.22,0.0
2024-01-22,Shopping,UPI,Teach Congress someone.,3406.96,0.0
2024-01-20,Transport,Net Banking,Light.,1556.8,60.95
2024-01-10,Shopping,Credit Card,Wrong similar my.,1966.17,0.0
2024-01-09,Shopping,Credit Card,View interest data.,1338.26,0.0
2024-01-08,Travel,Cash,Mother wonder.,4328.16,0.0
2024-01-06,Food,Net Banking,Two shoulder.,2454.8,0.0
2024-01-15,Shopping,UPI,Throw know sell.,1635.12,0.0
2024-01-12,Shopping,Net Banking,Arm recent.,3089.21,0.0
