date,category,payment_mode,description,amount_paid,cashback
2024-04-15,Shopping,Cash,Tough participant result she.,4412.21,0.0
2024-04-22,Bills,Cash,Water likely.,4210.17,0.0
2024-04-19,Entertainment,Credit Card,Let traditional.,2863.13,0.0
2024-04-07,Travel,Credit Card,Drive concern.,2794.05,0.0
2024-04-25,Shopping,Debit Card,Drug apply yourself.,4259.78,0.0
2024-04-27,Travel,Credit Card,Knowledge child significant.,3120.67,0.0
2024-04-24,Transport,UPI,Treat.,757.62,0.0
2024-04-24,Entertainment,Credit Card,Idea citizen.,1007.36,0.0
2024-04-04,Food,Cash,Wonder example.,1489.24,0.0
2024-04-13,Bills,Debit Card,Answer through top feel.,4597.14,0.0
2024-04-04,Entertainment,Debit Card,Budget term maintain.,2250.07,0.0
2024-04-24,Bills,Debit Card,Into over including.,2665.45,173.67
2024-04-21,Entertainment,Credit Card,East deep spring.,3713.66,115.19
2024-04-03,Food,Debit Card,Professor mouth.,831.19,0.0
2024-04-13,Travel,Cash,Then buy.,4444.06,0.0
2024-04-21,Entertainment,Debit Card,Decide mention budget.,2913.77,0.0
2024-04-15,Gifts,Credit Card,Big.,839.88,0.0
2024-04-01,Shopping,Cash,Moment crime act.,861.51,169.72
2024-04-22,Bills,Debit Card,Analysis especially seat.,3681.5,0.0
2024-04-11,Shopping,Credit Card,Whom left.,1694.85,0.0
2024-04-16,Gifts,UPI,Public experience make.,4788.54,91.91
2024-04-21,Travel,UPI,Race worry base financial.,841.66,0.0
2024-04-08,Travel,Credit Card,Culture entire.,2205.06,0.0
2024-04-05,Shopping,Net Banking,Can economic.,795.41,62.55
2024-04-10,Bills,Debit Card,Hand commercial.,1900.9,0.0
2024-04-25,Food,Cash,Win teach.,4621.54,0.0
2024-04-10,Transport,Credit Card,Energy wonder.,2159.69,0.0
2024-04-07,Transport,UPI,How material.,4881.81,0.0
2024-04-14,Gifts,UPI,Such sister remember issue.,1108.76,0.0
2024-04-20,Shopping,Debit Card,Huge partner.,271.03,0.0
2024-04-09,Food,Credit Card,Wear will evening.,2268.96,0.0
2024-04-02,Entertainment,Credit Card,Follow much rich.,1142.57,0.0
2024-04-01,Entertainment,Cash,Much television cause.,3603.32,0.0
2024-04-01,Shopping,Net Banking,Dream rise.,1177.56,0.0
2024-04-18,Transport,UPI,Like from.,470.54,0.0
2024-04-21,Shopping,Net Banking,Help turn agreement.,2219.07,0.0
2024-04-12,Transport,Credit Card,Foot him school.,221.96,0.0
2024-04-10,Transport,UPI,Be prove.,2544.06,0.0
2024-04-17,Transport,Net Banking,General trial.,2966.18,96.39
2024-04-24,Gifts,Credit Card,Ball.,4806.6,143.22
2024-04-26,Shopping,UPI,Practice.,4433.01,0.0
2024-04-03,Gifts,Debit Card,Everything book.,1636.23,0.0
2024-04-01,Travel,Net Banking,Station group wrong well.,1045.77,0.0
2024-04-01,Transport,UPI,Then help.,4228.08,0.0
2024-04-09,Gifts,Net Banking,Far husband.,3004.45,0.0
2024-04-13,Entertainment,Debit Card,Involve tell.,76.82,0.0
2024-04-24,Entertainment,Cash,First wide.,1947.17,120.81
2024-04-03,Entertainment,Cash,Subject grow yourself.,2252.49,0.0
2024-04-12,Shopping,Debit Card,Cover ready difficult.,4785.59,0.0
2024-04-12,Gifts,Credit Card,Perhaps from.,4719.77,0.0
2024-04-02,Food,Net Banking,Sort.,176.05,0.0
2024-04-02,Food,Credit Card,Ball.,149.25,0.0
2024-04-24,Entertainment,Cash,Together on.,2308.9,153.81
2024-04-25,Gifts,Net Banking,Measure yet.,2474.92,0.0
2024-04-16,Bills,Credit Card,Difficult want there.,3408.43,0.0
2024-04-03,Bills,Net Banking,Force.,4031.03,119.66
2024-04-11,Entertainment,Cash,Who special mean recently.,2995.3,0.0
2024-04-04,Travel,Net Banking,History good paper.,4730.94,0.0
2024-04-21,Food,UPI,Fact style much though.,2709.75,0.0
2024-04-13,Entertainment,UPI,Successful.,4775.78,0.0
2024-04-24,Travel,UPI,Less hope political.,4376.45,0.0
2024-04-14,Entertainment,Debit Card,Card eat sign finish.,4446.52,0.0
2024-04-24,Travel,UPI,You whatever either.,226.14,0.0
2024-04-08,Entertainment,Net Banking,Past account.,2139.75,0.0
2024-04-13,Entertainment,Credit Card,Movie give eight.,1006.23,90.64
2024-04-04,Entertainment,Debit Card,Class figure.,2229.65,0.0
2024-04-20,Travel,UPI,Man week into.,4203.0,0.0
2024-04-26,Transport,Cash,Fill.,283.06,0.0
2024-04-17,Transport,Cash,Market whole director.,2816.79,0.0
2024-04-17,Transport,Cash,Future deal.,3738.07,0.0
2024-04-01,Food,Debit Card,Pull between music.,469.7,0.0
2024-04-17,Food,Cash,Daughter above individual.,2070.59,0.0
2024-04-19,Bills,UPI,Safe fast employee.,4346.38,114.88
2024-04-04,Bills,Cash,Number term feeling.,2191.92,0.0
2024-04-05,Bills,Net Banking,Guess color.,3467.5,45.37
2024-04-14,Food,Cash,Follow summer its.,1192.27,0.0
2024-04-17,Gifts,Cash,Defense off.,2775.83,0.0
2024-04-12,Food,Cash,Spring benefit.,1475.5,0.0
2024-04-06,Gifts,UPI,Serve particularly style culture.,3718.65,0.0
2024-04-25,Bills,Credit Card,Machine hospital station production.,3064.41,0.0
2024-04-10,Entertainment,Debit Card,Commercial.,1274.3,0.0
2024-04-20,Shopping,Cash,Sea manage guess.,222.47,0.0
2024-04-21,Travel,Net Banking,Tonight certainly contain.,3203.85,0.0
2024-04-17,Gifts,Cash,Financial near.,1580.78,0.0
2024-04-10,Entertainment,Debit Card,Improve and provide.,3892.67,0.0
2024-04-26,Travel,Net Banking,Dark actually.,4576.7,0.0
2024-04-10,Travel,Cash,Test someone free.,2714.14,0.0
2024-04-13,Food,Net Banking,Forward degree.,1822.57,0.0
2024-04-03,Entertainment,Credit Card,Company should.,83.05,0.0
2024-04-26,Gifts,Cash,Push and century.,3801.59,0.0
2024-04-06,Transport,Credit Card,Professor cold fire.,2609.43,0.0
2024-04-17,Shopping,Credit Card,Sit.,4762.99,0.0
2024-04-17,Travel,Debit Card,Make own word.,3837.02,0.0
2024-04-19,Travel,Net Banking,Follow she.,2615.43,0.0
2024-04-11,Bills,Cash,Administration protect nice.,2408.92,0.0
2024-04-21,Transport,Cash,Employee him day paper.,2971.58,0.0
2024-04-05,Food,Credit Card,Mention four program.,3259.12,0.0
2024-04-14,Entertainment,Cash,Anyone see industry grow.,2097.85,0.0
2024-04-19,Gifts,Cash,Describe debate yet.,2838.39,11.35
2024-04-09,Bills,Debit Card,Enjoy live play agreement.,2496.25,0.0
2024-04-19,Entertainment,Debit Card,Quality growth.,4819.16,0.0
2024-04-18,Entertainment,Debit Card,Seat.,4149.81,0.0
2024-04-21,Food,Net Banking,Indicate body.,1817.51,0.0
2024-04-21,Shopping,UPI,Well design.,3120.64,0.0
2024-04-27,Bills,Net Banking,Also force.,1019.52,0.0
2024-04-18,Entertainment,Credit Card,Card.,4023.23,0.0
2024-04-11,Gifts,Credit Card,Stage change.,3278.66,0.0
2024-04-22,Bills,Credit Card,Human stuff.,1131.43,0.0
2024-04-14,Travel,Debit Card,Hot question.,2340.64,0.0
2024-04-16,Travel,Net Banking,Almost myself rest.,3450.96,36.67
2024-04-11,Bills,Debit Card,Fear also shoulder.,94.98,0.0
2024-04-21,Bills,Net Banking,Even student speech.,889.61,0.0
2024-04-25,Bills,Net Banking,Media market.,4964.18,0.0
2024-04-14,Bills,Debit Card,Raise like.,4428.92,0.0
2024-04-25,Travel,Net Banking,Heavy watch machine although.,3070.51,106.26
2024-04-15,Travel,Credit Card,Present democratic a.,2619.41,0.0
2024-04-09,Gifts,Cash,Center others kitchen care.,2108.41,39.46
2024-04-11,Food,Debit Card,Body admit.,4019.63,0.0
2024-04-26,Travel,Net Banking,Year together.,4764.38,0.0
2024-04-13,Bills,Credit Card,Draw police.,3107.23,157.09
2024-04-12,Gifts,Debit Card,Save.,4465.93,0.0
2024-04-15,Travel,Cash,Each fly.,2127.27,2.92
2024-04-03,Bills,Net Banking,Traditional will.,249.86,18.43
2024-04-11,Entertainment,Cash,Able her design.,2657.04,0.0
2024-04-03,Bills,Debit Card,Certain.,4063.57,0.0
2024-04-11,Bills,UPI,Your box safe.,2562.76,0.0
2024-04-14,Shopping,Net Banking,Reach experience actually.,4455.4,0.0
2024-04-22,Shopping,Net Banking,Stuff behind.,2758.11,0.0
2024-04-12,Transport,Credit Card,Reason sign.,705.81,0.0
2024-04-13,Food,Debit Card,Congress everything game development.,3798.02,0.0
2024-04-19,Entertainment,Credit Card,Around these walk.,4764.38,35.97
2024-04-01,Travel,Cash,House final listen.,1717.15,0.0
2024-04-13,Travel,Credit Card,Task decide.,1664.99,0.0
2024-04-19,Transport,Debit Card,Fund peace out newspaper.,589.9,0.0
2024-04-27,Travel,Debit Card,Foot to short together.,3587.13,0.0
2024-04-12,Transport,Credit Card,So total.,984.08,0.0
2024-04-12,Transport,Net Banking,Certainly win term.,1022.12,144.55
2024-04-16,Shopping,Cash,Ask mind push.,3522.82,0.0
2024-04-27,Shopping,Debit Card,Return radio land.,1888.17,0.0
2024-04-08,Gifts,Credit Card,Anything I fast this.,3955.22,0.0
2024-04-10,Transport,UPI,Never law since.,3272.97,0.0
2024-04-23,Entertainment,Net Banking,Position born.,988.03,0.0
2024-04-24,Gifts,Cash,White spend evening.,3035.19,0.0
2024-04-25,Transport,Cash,Coach crime may law.,851.23,0.0
2024-04-11,Bills,Debit Card,Democrat inside.,1951.17,0.0
2024-04-06,Gifts,Cash,Contain physical.,1286.33,0.0
2024-04-10,Transport,UPI,Business.,3569.64,78.02
