date,category,payment_mode,description,amount_paid,cashback
2024-08-19,Gifts,Cash,None democratic general.,66.72,0.0
2024-08-07,Food,UPI,Upon how.,4087.78,0.0
2024-08-23,Transport,UPI,Necessary body.,849.4,0.0
2024-08-11,Entertainment,UPI,Care high.,2970.53,0.0
2024-08-15,Gifts,Credit Card,Culture voice agreement cup.,510.61,0.0
2024-08-08,Transport,Net Banking,Hard blue town.,1397.42,0.0
2024-08-26,Bills,Credit Card,Cultural a.,933.43,169.63
2024-08-11,Entertainment,Debit Card,Travel clearly.,3738.44,0.0
2024-08-01,Shopping,Credit Card,Gun despite.,1906.21,0.0
2024-08-18,Transport,Net Banking,American subject.,4161.92,64.6
2024-08-22,Shopping,Net Banking,Service surface west.,4631.15,0.0
2024-08-18,Transport,Net Banking,Community exist.,2550.94,0.0
2024-08-22,Food,Cash,Call politics impact.,3873.59,5.27
2024-08-21,Shopping,Credit Card,Cover letter.,1399.66,0.0
2024-08-08,Entertainment,Net Banking,Production various contain.,3298.39,0.0
2024-08-27,Bills,Net Banking,Major identify.,1164.81,0.0
2024-08-20,Transport,Debit Card,Yeah provide.,1729.15,54.2
2024-08-03,Food,Net Banking,Cup area truth.,3580.61,0.0
2024-08-08,Shopping,Credit Card,Onto live time.,1977.12,0.0
2024-08-02,Entertainment,Net Banking,Modern.,4171.95,0.0
2024-08-14,Gifts,Debit Card,Full second laugh.,205.33,0.0
2024-08-16,Shopping,UPI,Street.,3903.0,0.0
2024-08-06,Entertainment,Credit Card,Identify relationship.,1852.79,0.0
2024-08-22,Travel,UPI,Couple he soldier.,2461.66,0.0
2024-08-08,Food,Debit Card,Least game.,360.27,151.9
2024-08-01,Bills,Debit Card,Magazine teach whole.,1240.75,0.0
2024-08-05,Entertainment,UPI,Discover economic stay.,3793.7,0.0
2024-08-08,Entertainment,Debit Card,Sure Mrs.,2425.74,0.0
2024-08-02,Transport,UPI,Condition network role.,637.27,0.0
2024-08-06,Food,Debit Card,Animal he.,951.22,0.0
2024-08-08,Gifts,Credit Card,Recently inside human.,4899.61,0.0
2024-08-15,Travel,Credit Card,There around.,1125.83,0.0
2024-08-02,Transport,Debit Card,Choose anyone.,3625.18,0.0
2024-08-13,Transport,Credit Card,Career sit very.,1676.32,196.17
2024-08-01,Gifts,Cash,Order blue.,4940.93,154.76
2024-08-26,Entertainment,Cash,Education his store.,918.34,0.0
2024-08-24,Travel,Cash,Coach.,3441.04,0.0
2024-08-08,Bills,Net Banking,State return.,708.43,0.0
2024-08-05,Entertainment,Debit Card,Pm another question only.,2611.6,0.0
2024-08-27,Gifts,Credit Card,Ability help.,3892.65,0.0
2024-08-17,Gifts,Cash,Can kind.,1450.13,0.0
2024-08-13,Food,Cash,Military professor.,2039.29,0.0
2024-08-14,Travel,UPI,Rock.,4553.52,0.0
2024-08-27,Gifts,Credit Card,Central Mrs store.,3698.66,0.0
2024-08-25,Travel,Debit Card,Thousand into article quickly.,1056.9,0.0
2024-08-13,Gifts,Debit Card,Win Democrat discover.,1998.59,0.0
2024-08-19,Entertainment,Debit Card,Color sense.,2660.77,0.0
2024-08-01,Shopping,Cash,Station son government.,4925.85,0.0
2024-08-06,Transport,Net Banking,Director consider.,4126.79,0.0
2024-08-08,Travel,Credit Card,Around kitchen back.,1863.26,0.0
2024-08-22,Shopping,Cash,Create week either.,1565.09,0.0
2024-08-27,Entertainment,Debit Card,Ever indeed agency.,1083.47,0.0
2024-08-20,Gifts,Debit Card,Year still.,4996.82,0.0
2024-08-16,Travel,Debit Card,Understand poor.,3924.79,0.0
2024-08-24,Food,Net Banking,Board past amount.,3819.16,124.33
2024-08-17,Food,Credit Card,Lead foot toward under.,4173.04,0.0
2024-08-07,Transport,Credit Card,Out whole society enough.,2220.51,0.0
2024-08-08,Shopping,Cash,Think tree along.,4913.07,35.57
2024-08-04,Shopping,UPI,She.,2452.36,0.0
2024-08-03,Food,Cash,Pay.,2502.32,152.35
2024-08-27,Gifts,Cash,Issue group chance talk.,439.78,0.0
2024-08-02,Shopping,Net Banking,Next industry.,4064.1,0.0
2024-08-05,Entertainment,Net Banking,Player town.,950.17,0.0
2024-08-14,Shopping,Debit Card,Language camera.,1994.28,29.16
2024-08-14,Transport,Debit Card,Fight.,3714.29,0.0
2024-08-10,Transport,Credit Card,Cost set international.,3765.02,30.89
2024-08-07,Transport,Debit Card,Among leg see.,3752.39,0.0
2024-08-07,Shopping,Debit Card,Physical toward.,1989.78,0.0
2024-08-09,Travel,Credit Card,Lawyer goal.,4228.34,0.0
2024-08-05,Transport,Net Banking,Network follow.,4814.28,0.0
2024-08-13,Food,Credit Card,Say my.,458.82,0.0
2024-08-04,Shopping,Credit Card,Newspaper dream.,3195.9,0.0
2024-08-27,Travel,Net Banking,Beautiful clear.,4007.72,0.0
2024-08-02,Travel,UPI,Growth nor always.,94.96,0.0
2024-08-10,Food,Net Banking,Idea involve hair pay.,698.86,0.0
2024-08-18,Entertainment,Cash,Lead visit.,980.86,0.0
2024-08-26,Bills,Cash,Night three true.,1012.34,172.39
2024-08-08,Shopping,UPI,Study us TV pressure.,2904.02,0.0
2024-08-21,Gifts,Debit Card,Clear.,4478.28,0.0
2024-08-01,Food,Credit Card,Adult require.,3926.31,0.0
2024-08-06,Entertainment,Net Banking,Next wear eat religious.,616.54,0.0
2024-08-27,Food,UPI,Bar must.,4033.3,0.0
2024-08-04,Entertainment,UPI,Yard difficult once.,1785.74,0.0
2024-08-01,Transport,Cash,Significant gas.,4798.78,157.12
2024-08-18,Shopping,Cash,Benefit.,2263.39,0.0
2024-08-23,Gifts,UPI,Member approach guy.,2848.68,0.0
2024-08-25,Travel,Debit Card,Lot thing major.,1929.55,0.0
2024-08-11,Shopping,Credit Card,Both throw.,2387.06,44.97
2024-08-23,Entertainment,UPI,Mean around.,3802.76,131.0
2024-08-17,Shopping,Credit Card,Information note whatever.,3430.23,0.0
2024-08-03,Entertainment,Credit Card,Certain manager early.,139.21,1.49
2024-08-21,Shopping,Credit Card,Beat sell.,2605.85,0.0
2024-08-09,Bills,Credit Card,Mother.,375.5,0.0
2024-08-18,Transport,Cash,Rest offer head.,4778.86,0.0
2024-08-19,Entertainment,Cash,Organization country.,2534.88,0.0
2024-08-18,Bills,Net Banking,Official finish law.,2264.77,0.0
2024-08-26,Travel,Cash,Expert our officer.,830.02,0.0
2024-08-14,Entertainment,Credit Card,Worker rich.,162.16,111.24
2024-08-23,Gifts,Debit Card,Role race.,3002.9,0.0
2024-08-27,Entertainment,Net Banking,Notice song word art.,1451.3,0.0
2024-08-27,Travel,UPI,Guess unit.,1261.56,0.0
2024-08-08,Transport,UPI,Police service.,2772.55,0.0
2024-08-17,Bills,Cash,Republican morning.,1390.76,0.0
2024-08-05,Travel,Credit Card,Protect.,3157.3,0.0
2024-08-14,Food,Net Banking,Simply require step simply.,661.43,0.0
2024-08-09,Entertainment,Debit Card,Miss decade.,1655.09,0.0
2024-08-16,Shopping,Credit Card,Power kid different.,256.41,0.0
2024-08-20,Shopping,Net Banking,Must she.,2995.56,0.0
