date,category,payment_mode,description,amount_paid,cashback
2024-11-05,Transport,Debit Card,Today church.,2966.29,0.0
2024-11-15,Food,Debit Card,Painting wait task.,2393.47,0.0
2024-11-11,Shopping,Debit Card,Perform under TV professional.,3469.47,0.0
2024-11-13,Entertainment,UPI,Movement plant wife.,2034.72,0.0
2024-11-04,Travel,Cash,Become.,2154.75,0.0
2024-11-25,Transport,Credit Card,To power likely later.,2789.82,0.0
2024-11-02,Bills,Debit Card,Food.,4903.21,0.0
2024-11-15,Food,Debit Card,Rise clearly.,3294.15,30.93
2024-11-14,Entertainment,Net Banking,Near almost.,554.52,0.0
2024-11-02,Bills,Cash,Middle major poor.,1893.95,0.0
2024-11-25,Gifts,UPI,Pattern page.,3556.87,0.0
2024-11-21,Gifts,Cash,Role low including.,2920.05,76.58
2024-11-06,Travel,Debit Card,Large become its.,1211.77,0.0
2024-11-03,Entertainment,Credit Card,Avoid amount.,1849.66,0.0
2024-11-24,Shopping,Net Banking,Fact job meeting.,3170.44,0.0
2024-11-20,Travel,Credit Card,Shoulder.,212.44,173.5
2024-11-19,Bills,Cash,Exactly.,216.75,0.0
2024-11-03,Travel,UPI,National positive.,3334.22,0.0
2024-11-24,Transport,Net Banking,Yes watch.,482.37,0.0
2024-11-16,Food,UPI,Visit.,213.4,0.0
2024-11-07,Travel,Credit Card,Often medical say.,1741.77,0.0
2024-11-24,Gifts,Net Banking,Herself field.,2061.47,0.0
2024-11-03,Bills,Debit Card,Perform sell avoid.,4071.86,0.0
2024-11-16,Shopping,Cash,Event draw.,3128.55,0.0
2024-11-09,Shopping,Credit Card,Official.,2630.44,0.0
2024-11-22,Shopping,Cash,Hit exist.,2631.41,0.0
2024-11-07,Shopping,Debit Card,Clear yard generation.,3187.31,124.95
2024-11-10,Gifts,UPI,Adult area media.,1626.42,0.0
2024-11-02,Bills,Net Banking,Change.,4284.64,0.0
2024-11-06,Gifts,Debit Card,Third history.,1431.35,106.38
2024-11-17,Transport,Debit Card,Probably result.,4841.8,0.0
2024-11-23,Entertainment,Credit Card,Remain have drive.,2502.94,0.0
2024-11-10,Transport,Debit Card,Start yes including.,3747.2,0.0
2024-11-16,Entertainment,Cash,Play finish.,3811.5,0.0
2024-11-01,Bills,UPI,Process character.,3613.26,0.0
2024-11-13,Entertainment,Net Banking,Hold memory.,4242.94,0.0
2024-11-06,Shopping,Credit Card,Produce result.,1558.55,0.0
2024-11-15,Transport,Debit Card,Be involve five.,3971.07,0.0
2024-11-26,Shopping,UPI,From fish.,3324.35,0.0
2024-11-04,Entertainment,Net Banking,Cold.,1286.61,0.0
2024-11-18,Food,Cash,Little ahead.,4644.62,145.18
2024-11-25,Bills,Debit Card,Series capital.,2960.71,0.0
2024-11-05,Gifts,Debit Card,Summer nature.,4594.76,99.79
2024-11-17,Transport,Net Banking,Interest drive security.,3757.8,0.0
2024-11-05,Bills,Debit Card,Bad hair.,4216.98,0.0
2024-11-19,Shopping,Debit Card,Pm foot business.,3442.1,0.0
2024-11-13,Shopping,Cash,Measure relationship that history.,876.37,0.0
2024-11-24,Gifts,Net Banking,Tell you.,3932.87,169.98
2024-11-25,Bills,Cash,Check car high.,3736.06,0.0
2024-11-18,Food,Debit Card,Tonight.,4022.6,0.0
2024-11-09,Shopping,Cash,Nearly I theory.,4689.27,0.0
2024-11-05,Gifts,Credit Card,Catch describe contain car.,3636.16,0.0
2024-11-27,Entertainment,Cash,Tend up.,3321.46,0.0
2024-11-16,Gifts,Net Banking,Cold.,2492.7,9.32
2024-11-08,Entertainment,UPI,Another federal.,340.85,0.0
2024-11-13,Travel,Cash,Painting.,2095.69,0.0
2024-11-08,Transport,Cash,Ever mean.,1549.7,0.0
2024-11-22,Travel,Debit Card,Contain administration list.,221.65,163.73
2024-11-01,Gifts,Net Banking,Or student attention.,2856.28,0.0
2024-11-10,Travel,Net Banking,His boy wide.,3094.51,0.0
2024-11-26,Food,UPI,Discuss three piece with.,3638.8,0.0
2024-11-19,Travel,Cash,Occur out about.,1912.13,0.0
2024-11-20,Bills,Cash,Performance so final.,2914.49,0.0
2024-11-08,Travel,Debit Card,Color hope.,3777.41,0.0
2024-11-25,Shopping,Debit Card,Decide democratic.,1520.39,189.87
2024-11-03,Shopping,Debit Card,Weight idea idea.,376.21,0.0
2024-11-24,Shopping,Cash,Stop conference trip.,2166.44,0.0
2024-11-12,Food,Cash,Cup live education.,611.99,0.0
2024-11-11,Bills,Debit Card,Single these.,1808.13,0.0
2024-11-05,Travel,Debit Card,Yard benefit trial.,4843.23,0.0
2024-11-27,Travel,Credit Card,Economy sell professor the.,4922.17,101.37
2024-11-09,Shopping,Credit Card,House religious house.,285.08,0.0
2024-11-10,Entertainment,UPI,Could interview that.,3397.22,143.62
2024-11-08,Gifts,Credit Card,Federal us.,4791.14,0.0
2024-11-27,Food,Cash,Officer cell box.,1064.59,0.0
2024-11-27,Transport,Cash,Lot.,2227.29,136.21
2024-11-22,Entertainment,Cash,Movie action car.,2716.56,0.0
2024-11-11,Entertainment,UPI,Join various.,2375.54,0.0
2024-11-27,Transport,Debit Card,Try gun return most.,2893.83,0.0
2024-11-27,Entertainment,UPI,Set summer.,3965.15,0.0
2024-11-24,Travel,Credit Card,Ground go ok actually.,548.14,0.0
2024-11-20,Gifts,Credit Card,Million pretty.,3272.78,0.0
2024-11-11,Food,Credit Card,Road but.,589.3,0.0
2024-11-08,Bills,UPI,Several direction behavior.,1987.54,196.49
2024-11-11,Transport,Net Banking,She remember.,1311.77,94.2
2024-11-08,Shopping,Net Banking,Let.,932.83,0.0
2024-11-11,Transport,UPI,Type approach safe.,1322.93,0.0
2024-11-09,Shopping,UPI,Entire religious senior.,4136.84,0.0
2024-11-18,Food,Credit Card,In southern although.,1749.46,0.0
2024-11-18,Food,Net Banking,Feel.,3594.3,0.0
2024-11-07,Entertainment,UPI,Hear act.,4311.62,20.41
2024-11-09,Travel,UPI,Executive international senior.,1187.49,0.0
2024-11-22,Gifts,Net Banking,Let civil.,3028.57,0.0
2024-11-20,Bills,Net Banking,In central.,3226.94,197.89
2024-11-01,Shopping,Cash,Reduce role.,3132.21,0.0
2024-11-02,Entertainment,Credit Card,Evidence court check.,3711.65,185.34
2024-11-22,Gifts,Debit Card,Shoulder person reality.,3431.47,0.0
2024-11-09,Food,Net Banking,Film others crime same.,1630.66,105.39
2024-11-05,Entertainment,Net Banking,Serious.,4730.57,0.0
2024-11-14,Transport,Cash,Here save man.,620.8,0.0
2024-11-25,Food,Cash,Teacher though home.,1133.72,0.0
2024-11-09,Entertainment,Cash,Body either.,2427.06,180.04
2024-11-01,Shopping,Credit Card,North.,2350.61,0.0
2024-11-08,Food,Credit Card,Help radio.,537.12,0.0
2024-11-12,Food,Credit Card,Material natural.,3318.17,0.0
2024-11-12,Bills,UPI,Choice national.,449.0,0.0
2024-11-01,Travel,Credit Card,Better rule.,3180.42,0.0
2024-11-07,Food,Cash,Professional.,4840.44,0.0
2024-11-19,Bills,UPI,Most too green.,4777.5,0.0
2024-11-23,Travel,Cash,Whom parent.,1055.95,0.0
2024-11-05,Bills,Cash,Red stage power local.,240.83,0.0
2024-11-16,Food,Debit Card,Eye report political.,3157.46,0.0
2024-11-09,Bills,Credit Card,Quality no nice.,4270.84,0.0
2024-11-12,Food,Cash,Cultural marriage build.,641.76,152.36
2024-11-10,Gifts,Credit Card,Fine floor.,3274.51,0.0
2024-11-21,Transport,Debit Card,Bar reason win should.,2514.11,0.0
2024-11-16,Transport,UPI,Rather.,4578.6,0.0
2024-11-05,Travel,Cash,Billion center significant.,859.28,39.66
2024-11-06,Shopping,Debit Card,Picture me.,311.83,0.0
2024-11-04,Bills,Net Banking,Vote.,3819.76,0.0
2024-11-10,Entertainment,UPI,New reveal.,1724.58,37.44
2024-11-16,Bills,Debit Card,Generation toward.,2239.91,0.0
2024-11-12,Travel,Cash,Health charge.,2757.31,0.0
2024-11-04,Entertainment,Cash,Benefit what drug.,3517.32,0.0
2024-11-08,Food,Net Banking,Indeed hot.,3618.11,0.0
2024-11-24,Gifts,Credit Card,Full.,2576.64,0.0
2024-11-01,Gifts,Debit Card,Management its night.,2606.08,0.0
2024-11-27,Gifts,Debit Card,Man officer television best.,2929.63,0.0
2024-11-06,Gifts,Credit Card,Feeling.,3624.16,0.0
